Headline,Label
Raat ko ye 2 surtein parhne se har mushkil hal ho jaye gi ✅,1
Punjab mein naye dam ki tameer ke liye funds jari kar diye gaye.,0
"Wazan kam karne ka 2 din ka khufia nuskha, sab hairan 💯",1
Gold rates mein aaj 500 rupay ki kami dekhi gayi.,0
"Aisi khufia jagah jahan kashish-e-saqal (gravity) kaam nahi karti, dekhiye video.",1
Pakistan ne naya atomi reactor kamyabi se shuru kar diya.,0
Higher Education Commission ne naye local scholarships ka quota barha diya.,0
Multan mein naye cricket academy ka aghaz aglay haftay se hoga.,0
Karachi mein naye water treatment plant ka iftitah kal hoga.,0
"Bari khabar: Cricket team mein 5 naye khilari shamil, fans hairan 🔥",1
"Imran Khan ne jail se naya khat likh diya, hukumat mein halchal.",1
Kia dunya waqai andheray mein doobne wali hai? NASA ka alert!,1
Aliens ne zameen par paigham bhaij diya? NASA pareshan 😲,1
Supreme Court ne makhsoos nishistoon ka faisla mehfooz kar liya.,0
Jinnat ka qabza ya purana waham? Is hospital ki asaliyat dekh kar darr jayenge.,1
